"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgxUZMyMGeI6DpENTCR4AaABAg","Your Majesty","/channel/UCLK4IqEY-nomCUTddc8Nc4w","https://yt3.ggpht.com/a/AGF-l78qU-JMXhNHKfhrqfNbLV7FbjNh3qj8VRPiXw=s48-c-k-c0xffffffff-no-rj-mo","Why he kept siting there pretending that nothing happened???😡",0,"2 hours ago",1575534077229,false,false,,,,,,,,,,,
"Ugw_zJAjhuz-UgSo-LF4AaABAg","Jorge rick Martinez","/channel/UCiZCQVd_UT-GVdNL84WKUyg","https://yt3.ggpht.com/a/AGF-l78Qfg-v98T46ztCampcIkyHttbJPsFjbGkoXw=s48-c-k-c0xffffffff-no-rj-mo","Theres a saying in texas fool me once Shame on you ...but fool me twice Shame on me...u cant fool me twice",0,"4 hours ago",1575526877232,false,false,,,,,,,,,,,
"UgwwHEfIyIFbzg1V8SR4AaABAg","J Vili","/channel/UCkSSxBSaAJhxBi0TAn0WV5Q","https://yt3.ggpht.com/a/AGF-l7-Q9_t76G7uXcAwL1CrJfl5W-gCBJqcr5UwXA=s48-c-k-c0xffffffff-no-rj-mo","Did he know that shit  was happening ? I mean exclude that zeitgeist documentary though, what evidence people have that he knew that shit??",0,"7 hours ago",1575516077234,false,false,,,,,,,,,,,
"Ugy7Vsoa74-QImvJY4V4AaABAg","blueskin7377","/channel/UCPN-UUTa-ZzmrR7U3fIO8BQ","https://yt3.ggpht.com/a/AGF-l79DHfWtjJ7P2nxaKGb4tm4LW9zi7Kk0rwLmtw=s48-c-k-c0xffffffff-no-rj-mo","All they Told Him was "" There it's done"" Sacrafice a few thousand, for the good of a few Billionaires and Start the "" Control MORE the American Citizens From Now""  On""  Mission",0,"7 hours ago",1575516077237,false,false,,,,,,,,,,,
"Ugxvo3D4JD3hrOPHtwF4AaABAg","Maiinetti","/channel/UCFJ_oflCwSiLSJbU8xn6XnQ","https://yt3.ggpht.com/a/AGF-l7-ICtZHgWRvWryRySIrMAMc9RzaZeoeHZbOTg=s48-c-k-c0xffffffff-no-rj-mo","An interesting thing about this video is that on the white board behind the teacher there are some numbered words. Notice the words whose number are:\r\n1- cried 9 - back 11- hope\n\n""We cry for the return with hope.""\nIt happens at 3:30.",0,"8 hours ago",1575512477240,false,false,,,,,,,,,,,
"UgwYCIGTJ5FwtEaHfIh4AaABAg","Dj Chris","/channel/UCRM-7j4KFZhFoYPMejUbhMg","https://yt3.ggpht.com/a/AGF-l79yfc47ERUrnZIT6U5KazdoXF4tDpl8O7odlw=s48-c-k-c0xffffffff-no-rj-mo","9/11 inside job",0,"8 hours ago",1575512477242,false,false,,,,,,,,,,,
"UgyZE2f3QBn81mWt65p4AaABAg","Eric Johnston","/channel/UCxeTmgs5W0Dg-bI0MqKVe3A","https://yt3.ggpht.com/a/AGF-l7-1HdO-WUy4xn-bXuEAG91yBspSJqULji4aZg=s48-c-k-c0xffffffff-no-rj-mo","This was a complete set up, way to convenient, it's built for maximum drama, only a grapefruit would be fooled by this shit..",0,"9 hours ago",1575508877244,false,false,,,,,,,,,,,
"Ugz-gxm6Kszb8L_8B794AaABAg","Chris Bidegain","/channel/UCGgRpyWb9j1I2RcVnvCsJZw","https://yt3.ggpht.com/a/AGF-l78MBpGZqi-_tqfHQVwDfvT--06oXKeKq9_sjA=s48-c-k-c0xffffffff-no-rj-mo","This is some weird shit. He's in on it...the whole FUCKIN government put up the false flag",0,"10 hours ago",1575505277245,false,false,,,,,,,,,,,
"Ugzp5pLoej8R86JK6RZ4AaABAg","Dario Spirit","/channel/UCe_wmR0GtaDhEmsDHn7YHdQ","https://yt3.ggpht.com/a/AGF-l7_ThceMrzpQd6p_uuVz3LYSeF35jft_eFAtnw=s48-c-k-c0xffffffff-no-rj-mo","Where are White kids?",0,"11 hours ago",1575501677247,false,false,,,,,,,,,,,
"Ugzc7rTwHBTSZNdk6zJ4AaABAg","Lord Kalkata","/channel/UCWxmh4yMoW7HnBr3huDrjdw","https://yt3.ggpht.com/a/AGF-l7_keQBpUUUCjnb0uFPJaVrZMJNtyyqt6RYV4g=s48-c-k-c0xffffffff-no-rj-mo","I’m surprised that no one has called this teacher a key player in the attacks just as she’s reading the description 😂 That is very spooky indeed, something I’ve never picked up on. I remember exactly where I was and what I was doing during the 9/11 attacks, the whole world felt the shockwave. Believe what you want but this was an extremely sad and scary day. From Scotland, sending love to all those who were affected 🏴󠁧󠁢󠁳󠁣󠁴󠁿♥️🇺🇸",0,"12 hours ago",1575498077249,false,false,,,,,,,,,,,
