"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"Ugwe2pEhDbnX3rJ8LoN4AaABAg","Matt Kwan","/channel/UCmBPMU6thwg7heXDaElvSnw","https://yt3.ggpht.com/a/AGF-l79hRSr1Q8PGJU9YazmJr9cONqeFY4s2KH-PpA=s48-c-k-c0xffffffff-no-rj-mo","Nobody believes this",0,"1 minute ago",1575615689799,false,false,,,,,,,,,,,
"UgzFbeROK9_CPAA6gq94AaABAg","ArchAngel King","/channel/UCwqMQzjHn7tvtvepOD_-V8g","https://yt3.ggpht.com/a/AGF-l7_5yVNh-BWWZ46D9ESCvRQw_NvBjnUOuhormA=s48-c-k-c0xffffffff-no-rj-mo","It doesn't matter, and Nancy didn't say she will go forward with impeachment, she just said she will go forward to write the articles. Nancy isn't even following her own criteria to impeach. It's on a pardisan basis and you can't impeach any president in a partisan way. It won't work, The senate will vote to dismiss or vote not to impeach. Then it's just a waste of time. Next time the Republicans will impeach the next DEM president if there ever is one after Nancy destroys her party politic.",1,"2 minutes ago",1575615629802,false,false,,,,,,,,,,,
"UgxHROg6sCPPJlGgReR4AaABAg","007purple007","/channel/UCO78F4YSbmj5aIoMBRzXkaw","https://yt3.ggpht.com/a/AGF-l79zpVO1YrVa9WKIoY1-hI-2RX3mgT2Z76Fkmg=s48-c-k-c0xffffffff-no-rj-mo","Waaaahhhh trump bad whaaaahhh. (Literally for years) \ndevilrats - 0\nTRUMP - 3.",0,"4 minutes ago",1575615509803,false,false,,,,,,,,,,,
"UgyQW5qES5I7wbY5qUZ4AaABAg","Ken Breaux","/channel/UCTz4OzvfTpZgvNROk97T-DQ","https://yt3.ggpht.com/a/AGF-l79fVIhiLD4Fwtpu3O9nLyZNtRmohhABlb2yxw=s48-c-k-c0xffffffff-no-rj-mo","You watch this insane bitch and have to wonder who is pulling the strings.",0,"4 minutes ago",1575615509807,false,false,,,,,,,,,,,
"UgzMkr4cgH6UIveZx2x4AaABAg","S E","/channel/UC0uORzolgQrKtHiPT9ZxjNQ","https://yt3.ggpht.com/a/AGF-l799YbC_BkQcIRmr3lol-hgmInVKAc_rlwdV0w=s48-c-k-c0xffffffff-no-rj-mo","Is the Zucker a friend  of Jeffrey? \n Another  Standard Hotel visitor?\nCome on Zuck...what ya hiding?\nYa going to jail Zucky Boy?",0,"4 minutes ago",1575615509810,false,false,,,,,,,,,,,
"Ugz2NtPIOcC5HJ8acid4AaABAg","Jons Jay Digravio","/channel/UC5jM3btOYNdGeCqJMKxpp5A","https://yt3.ggpht.com/a/AGF-l78Xa9N9BoyubfZqrLeZGLAh7ahDvo0GTQIB9Q=s48-c-k-c0xffffffff-no-rj-mo","Republican congressmen trying to save there jobs by obviously not caring about the Constitution, but career moves. Just disgusting.",0,"4 minutes ago",1575615509811,false,false,,,,,,,,,,,
"UgwMVZVRUMSesqQeBjx4AaABAg","Chris P","/channel/UC5wh3gkQQ9C7qjep-xZONIA","https://yt3.ggpht.com/a/AGF-l78Mv6UtgLBw0RTi7U0kERywJD3E-cmoaPkzUQ=s48-c-k-c0xffffffff-no-rj-mo","I heard tulsi is getting trudeau to look into trumps taxes. O Canada",0,"5 minutes ago",1575615449812,true,false,,,,,,,,,,,
"Ugw2JuHWufxkMNBoZM94AaABAg","snowfort77","/channel/UCBhc8FbXtr_CVp5xoD49olA","https://yt3.ggpht.com/a/AGF-l79xg0tCs84LxqvH9slnAMqTPVaaEJvAcBMYCw=s48-c-k-c0xffffffff-no-rj-mo","Everyone knows the senate republicans will dismiss.  People need to start thinking about what happens next.  Best case scenario, he loses the election and leaves office peacefully.  But since we know neither of those things will happen let's hope he keeps eating McDonald's and cheap speed and just keels over.  Because if he loses and refuses to leave office, there will be riots.  He''ll never resign and the election is most certainly already compromised by Russia.  The propaganda campaign never stopped.  Putin owns the US right this minute and people are more concerned about Kanye teaming up with Joel Osteen...which is also a very disturbing notion.  Too many Americans take freedom for granted and have become hypnotized and pacified by our bullshit pop culture.  One thing I agree with the Republicans about is that every American should be outraged right now.  Not because the President is being treated unfairly but because our democracy and in turn our freedom is dying.  Things will most certainly get worse before they get better.  Buckle in.",0,"5 minutes ago",1575615449814,false,false,,,,,,,,,,,
"UgwzrvV8JloqcDXMOkN4AaABAg","Dave Ball","/channel/UC_JTzIhWdblnDTIFqmL0-LA","https://yt3.ggpht.com/a/AGF-l7-5AUaes7h8M8SM8Laf94GaL0zNqAXq2ZbFiA=s48-c-k-c0xffffffff-no-rj-mo","Ok non american here.\nHouse says impeach.\nWhat happens next?",0,"6 minutes ago",1575615389815,false,true,"EkQSC19FQW83NEdjVzNnwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk4aTBIaVWd3enJ2VjhKbG9xY0RYTU9rTjRBYUFCQWciAggAKhhVQ3VwdlpHLTVrb19laVhBdXBiRGZ4V3cyC19FQW83NEdjVzNnQAFI9AM%3D",1,,,,,,,,,
,,,,,,,,,,,,"UgwzrvV8JloqcDXMOkN4AaABAg.92BgrQMyOyt92BhYt6ZfrD","Crim Sin","/channel/UC4O4I2v4tz-vKDcsGLwzoog","https://yt3.ggpht.com/a/AGF-l78Vbv1KPPXa6R5ywqm_fmw8D6F_N1o2j5nLqw=s32-c-k-c0xffffffff-no-rj-mo","Dave Ball It goes to the senate. And they decide.",0,"55 seconds ago",1575615695198,false
